StateLong;State;Veteran Population;TotalExpenditures;CompensationAndPension;Construction;EducationAndVocRehab;LoanGuaranty;OperatingExp;InsuranceAndIndemnities;MedicalAndGOE;UniquePatient;Year
Alabama;AL;413578.88;1714683.46;990465.52;8953.43;58268.92;0.00;28783.02;21573.84;606638.73;100488.45;2008
Alaska;AK;75596.77;277988.67;134191.02;15369.90;10517.89;0.00;4868.94;2312.84;110728.09;14431.65;2008
Arizona                                                                                                                        ;AZ;564795.83;1874262.52;891942.97;14985.25;86662.20;0.00;62103.53;33596.44;784972.13;122558.03;2008
Arkansas                                                                                                                       ;AR;260073.90;1320406.80;632338.73;6211.71;31298.76;0.00;37264.89;11851.78;601440.93;87418.14;2008
California;CA;2078267.33;7152712.17;3158634.86;70439.29;310005.10;0.00;170925.38;155717.05;3286990.48;408252.38;2008
Colorado                                                                                                                       ;CO;426161.86;1388469.83;712531.93;51009.87;76491.99;0.00;54206.07;27126.86;467103.12;72800.43;2008
Connecticut                                                                                                                      ;CT;245642.75;679924.08;236035.57;1467.44;42845.34;0.00;13690.70;23981.62;361903.40;53935.66;2008
Delaware                                                                                                                     ;DE;79915.54;213192.64;101716.54;115.84;6841.76;0.00;4642.32;4334.88;95541.29;13891.52;2008
District of Columbia                                                                                                            ;DC;38589.14;1675905.10;103303.83;173507.69;14044.15;0.00;1232827.40;2646.05;149575.97;10304.61;2008
Florida                                                                                                                     ;FL;1715114.43;6342117.53;3067797.14;107942.53;225209.22;0.00;129573.84;123494.86;2688099.93;442250.99;2008
Georgia                                                                                                                     ;GA;769567.06;2650371.31;1389206.56;4739.24;169517.05;0.00;92425.29;38042.59;956440.58;146425.08;2008
Hawaii                                                                                                                     ;HI;118017.18;368899.19;197498.42;1149.63;19602.49;0.00;12324.37;11577.29;126747.00;20229.12;2008
Idaho                                                                                                               ;ID;137202.80;458679.44;222034.01;2896.82;16756.92;0.00;6609.25;6672.29;203710.16;33812.56;2008
Illinois                                                                                                               ;IL;822104.20;2398755.55;851368.72;24052.15;95238.04;0.00;85054.74;63283.19;1279758.71;184174.64;2008
Indiana                                                                                                               ;IN;509313.44;1387013.67;602184.48;5223.17;41357.61;0.00;28162.69;22824.94;687260.78;116688.55;2008
Iowa                                                                                                              ;IA;245845.06;755339.93;322473.17;129.40;23290.28;0.00;8049.76;17407.66;383989.66;69154.51;2008
Kansas                                                                                                             ;KS;232867.72;759680.31;328384.40;207.55;27970.90;0.00;21131.80;16410.99;365574.66;60224.25;2008
Kentucky                                                                                                             ;KY;343557.88;1399801.91;711243.00;740.51;43228.59;0.00;24456.16;14291.24;605842.40;97296.64;2008
Louisiana                                                                                                        ;LA;318923.86;1277585.01;641160.47;5737.36;36795.55;0.00;25195.94;16803.97;551891.73;82951.01;2008
Maine                                                                                                       ;ME;142315.91;614997.57;342467.65;1614.61;23729.41;0.00;12482.83;8366.97;226336.11;39026.88;2008
Maryland                                                                                                      ;MD;480217.99;1365882.97;611915.49;7266.39;59498.84;0.00;28519.90;34000.07;624682.28;76333.33;2008
Massachusetts;MA;424765.35;1510357.77;657361.82;2764.52;42860.50;0.00;29524.21;40950.16;736896.56;83006.02;2008
Michigan;MI;742220.56;1887206.09;918187.17;3913.80;63417.81;0.00;43899.69;42209.97;815577.65;127092.18;2008
Minnesota;MN;399496.25;1480071.83;652123.29;31599.10;43836.47;0.00;60903.93;30217.38;661391.65;99840.28;2008
Mississippi;MS;212507.66;983827.54;429787.25;30120.89;21629.09;0.00;30139.99;11086.63;461063.69;69986.72;2008
Missouri                                                                                                                       ;MO;522797.79;1783769.50;809602.10;5111.83;58462.82;0.00;88106.99;28375.78;794109.98;130189.97;2008
Montana                                                                                                                        ;MT;103729.68;394343.21;204913.69;496.80;13047.05;0.00;7082.22;6080.76;162722.68;30793.80;2008
Nebraska                                                                                                                       ;NE;150394.02;634367.96;306509.80;8938.79;22629.10;0.00;19216.64;10403.14;266670.48;43961.13;2008
Nevada                                                                                                                         ;NV;245608.02;862760.33;363096.83;57023.62;28089.56;0.00;14283.10;10314.18;389953.05;55430.04;2008
New Hampshire                                                                                                                  ;NH;131027.34;387592.59;177669.85;2740.43;17618.62;0.00;8434.16;8198.78;172930.76;26682.76;2008
New Jersey                                                                                                                    ;NJ;484749.91;1303432.89;611038.94;4046.03;61434.65;0.00;16195.13;50784.07;559934.06;81318.59;2008
New Mexico                                                                                                                     ;NM;178081.75;818226.14;437304.72;-205.35;29471.31;0.00;14604.89;10586.73;326463.84;56358.27;2008
New York                                                                                                                      ;NY;1026289.26;3762505.97;1377655.50;14557.36;155919.98;0.00;112182.05;92290.67;2009900.42;246546.43;2008
North Carolina                                                                                                                ;NC;772263.93;2910699.74;1609267.94;10181.18;127301.01;0.00;66637.36;39536.17;1057776.08;171827.51;2008
North Dakota                                                                                                                   ;ND;57702.83;201964.77;99911.68;8.75;8963.53;0.00;6127.82;3425.27;83527.73;17735.49;2008
Ohio                                                                                                                           ;OH;935439.93;3503208.24;1173148.40;36502.42;80003.74;0.00;803449.65;56316.03;1353788.01;201696.07;2008
Oklahoma                                                                                                                      ;OK;333876.71;1625516.35;993453.49;2738.85;57476.80;0.00;63030.05;18146.20;490670.95;83700.19;2008
Oregon                                                                                                                         ;OR;345872.65;1369120.54;690566.42;12591.15;46135.10;0.00;35550.67;20646.79;563630.42;83771.21;2008
Pennsylvania                                                                                                                   ;PA;1025769.86;3101407.89;1289040.60;62177.50;81725.64;0.00;133750.58;76053.51;1458660.05;239330.60;2008
Rhode Island                                                                                                                   ;RI;76726.09;294905.37;133689.34;747.10;7056.02;0.00;8964.12;6264.93;138183.87;20003.07;2008
South Carolina                                                                                                                 ;SC;409648.18;1604913.98;882194.89;10978.14;62739.15;0.00;31323.98;20721.83;596955.99;103154.12;2008
South Dakota                                                                                                                   ;SD;73503.93;387716.74;150856.31;79.75;11950.93;0.00;9253.25;4492.91;211083.58;30602.75;2008
Tennessee                                                                                                                      ;TN;507149.53;1873512.23;900195.04;3468.64;60402.96;0.00;51650.66;23990.22;833804.71;122195.94;2008
Texas                                                                                                                          ;TX;1705311.04;7546051.36;3628436.23;45080.44;303922.88;814523.75;178379.91;86835.45;2488872.69;396968.52;2008
Utah                                                                                                                           ;UT;156107.42;508229.23;207248.75;2152.19;21327.12;0.00;24472.81;8573.08;244455.28;31414.96;2008
Vermont                                                                                                                        ;VT;54305.52;190041.65;81194.05;395.29;17632.92;0.00;4293.59;3868.11;82657.69;14901.77;2008
Virginia                                                                                                                       ;VA;813977.10;2414460.59;1357030.63;4789.01;143255.80;0.00;73806.29;46409.56;789169.31;122497.02;2008
Washington                                                                                                                     ;WA;640418.67;2012165.16;1131877.49;12044.58;95445.79;0.00;40601.01;38149.60;694046.69;97250.63;2008
West Virginia                                                                                                                  ;WV;174163.40;1046673.38;426830.98;1763.37;57531.31;0.00;115437.44;7637.23;437473.06;60998.45;2008
Wisconsin                                                                                                                     ;WI;436957.79;1457734.66;641996.16;3694.05;43302.27;0.00;42232.64;30052.61;696456.94;112816.57;2008
Wyoming                                                                                                                        ;WY;56140.62;216217.88;83180.42;0.00;5061.67;0.00;2909.12;2497.43;122569.23;18836.77;2008
Puerto Rico                                                                                                                   ;#N/A;119295.86;1003152.48;491507.72;33038.71;19329.60;0.00;22593.01;2263.34;434420.10;64401.31;2008
Alabama;AL;409996.94;1971677.73;1145325.15;9309.86;73788.61;0.00;31854.47;26515.16;684884.48;97786.26;2009
Alaska;AK;76467.86;345074.24;150008.06;45495.47;12795.30;0.00;5072.33;2465.64;129237.43;14526.28;2009
Arizona                                                                                                                        ;AZ;561387.29;2128911.44;950928.51;9128.09;113743.74;0.00;100434.51;36864.42;917812.17;119608.69;2009
Arkansas                                                                                                                       ;AR;257625.45;1503314.78;718243.35;14436.55;39831.83;0.00;41753.93;14606.47;674442.64;84597.56;2009
California;CA;2025933.54;8068918.07;3472898.48;143509.80;420520.55;0.00;176375.22;166244.88;3689369.13;388970.09;2009
Colorado                                                                                                                       ;CO;424227.81;1522302.30;804598.54;7902.22;96836.02;0.00;55940.76;31332.09;525692.66;73598.81;2009
Connecticut                                                                                                                      ;CT;237695.95;781794.67;270828.31;2728.30;56791.92;0.00;15751.55;25111.56;410583.04;50510.83;2009
Delaware                                                                                                                     ;DE;79166.35;255329.00;122820.24;3335.80;9231.79;0.00;5215.46;5135.87;109589.85;13525.85;2009
District of Columbia                                                                                                            ;DC;37947.57;1595912.27;62626.85;137327.48;6284.79;0.00;1203892.19;2920.87;182860.10;9198.98;2009
Florida                                                                                                                     ;FL;1683899.30;7254247.40;3476355.46;146391.39;308118.97;0.00;143538.16;141184.48;3038658.94;433737.44;2009
